Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
0739748D MM Equity,BOLANITOS SILVER,MX,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
0739718D CH Equity,GAOCHENG SILVER/,CN,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0694429D AU Equity,JUNDEE WEST GOLD,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3608249Q CN Equity,LAC MINERALS,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3271797Z SM Equity,OROVALLE MINERAL,ES,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
2999986Q CN Equity,KAZAKHMYS GOLD,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739713D CN Equity,CASA BERARDI GOL,CA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739962D AU Equity,SANDSTONE GOLD M,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0696511D AU Equity,REDWING GOLD DEP,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0694441D PE Equity,YANACOCHA GOLD M,PE,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
NRF SJ Equity,NORTHFIELDS GOLD,ZA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
PAGO US Equity,PAC GOLD CORP,US,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3586406Q CN Equity,NIBLACK MINING C,CA,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
0739483D PM Equity,FAR SOUTH EAST G,PH,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739418D AR Equity,MARTHA SILVER MI,AR,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
0739413D AR Equity,JOAQUIN SILVER D,AR,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
0739343D US Equity,MESQUITE GOLD MI,US,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739312D IA Equity,TONGON GOLD DEPO,CI,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739283D CH Equity,JINCHILING GOLD,CN,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3391821Q CN Equity,MIRAGE RESOURCE,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
LNXGF US Equity,0187279 BC LTD,CA,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
