Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
ADDY CN Equity,ADELAYDE EXPLORA,CA,Common Stock,2.53M,0,2.44M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
ETU CN Equity,E2GOLD INC,CA,Common Stock,2.53M,0,212.95k,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
KDR LN Equity,KARELIAN DIAMOND,IE,Common Stock,2.51M,0,19.29M,--,Precious Metals and Mining,Diamonds and Gemstones,Metals & Mining,Precious Metals & Minerals,Metals & Mining,Mineral & Precious Stone Mining,Precious Stone Mining,Diamonds
SATU RO Equity,SATURN SA ALBA I,RO,Common Stock,2.50M,--,--,--,--,--,Metals & Mining,Steel,Metals & Mining,Iron,Iron Foundries,--
POWR CN Equity,POWR LITHIUM COR,CA,Common Stock,2.48M,0,55.42k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
FV/H CN Equity,FIRESTONE VENTUR,CA,Common Stock,2.48M,0,432.24k,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
GLOH US Equity,GLOW HOLDINGS IN,US,Common Stock,2.45M,--,--,--,Investment Banking and Brokerage Services,Diversified Financial Services,Food Products,Packaged Foods & Meats,Metals & Mining,Mineral & Precious Stone Mining,--,--
ADG/H CN Equity,ARCUS DEVELOPMEN,CA,Common Stock,2.44M,0,31.30k,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
REL GR Equity,RELIABLE AFRICAN,ZA,Common Stock,2.42M,0,76.84M,--,--,--,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,--,--
VBG VN Equity,VINACOMIN-VIET B,VN,Common Stock,2.37M,11.88M,11.63M,310,--,--,--,--,Metals & Mining,Mining Services,--,--
