ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,PROVINCES,GEOLOGIC_AGE,ENVIRONMENT,GROUP,TYPE,IGNEOUS,SEDIMENTARY,TECTONIC
334016,Anabama,,SA,140.2846,-32.7956,mineral deposit,Cu,,Copper,Adelaide Resources Limited,Delamerian Orogen,Proterozoic,,,,,,Delamerian Orogen
334019,Middlemount,,QLD,148.6316,-22.8481,operating mine,Cbl,,Coal - black,"Peabody Energy Corp., Yancoal Australia Limited",Bowen Basin,,,,,,Bowen Basin,Anakie Province
334020,Maddingley,,VIC,144.4402,-37.7043,operating mine,Cbr,,Coal - brown,Mantle Mining Corporation Ltd,Otway Basin,Cenozoic,,,,,Selwyn Province,Bendigo Zone
334021,McTavish,,WA,121.4606,-29.3323,mineral deposit,Au,,Gold,Arika Resources Ltd,Yilgarn Craton,Archean,,,,,,West Australian Element
334023,Meecharra,,WA,120.4043,-22.0766,mineral deposit,Mn,MnOre,"Manganese, (Manganese ore)",Mn Energy Ltd,,,,,,Warakurna Large Igneous Province,Fortescue Basin,Pilbara Craton
334024,Bandalup,,WA,120.3583,-33.6086,mineral deposit,"MgO, Mgs",,"Magnesia (magnesium oxide), Magnesite","Watts-Butler Denise Elaine, Ashbridge Holdings Pty Ltd",,,,,,,,Northern Foreland
334026,Ricciardo,Silverstone,WA,116.9502,-28.9033,historic mine,"Sb, Au",,"Antimony, Gold","Warriedar Resources, Minjar Gold Pty Ltd",Yilgarn Craton,,,,,,,West Australian Element
334035,Mount Margaret-E1 (Glencore),"E1, E1 East, E1 North, E1 South, Monakoff, Mt Margaret",QLD,140.7829,-20.4424,care and maintenance,"Cu, Au","U, U3O8","Copper, Gold, (Uranium, Uranium oxide)","Comet Resources Ltd, Glencore Plc",Mount Isa Orogen,Proterozoic,Regional metasomatic,IOCG,Magnetite-dominant IOCG,,Carpentaria Basin,Canobie Domain
334036,Buddadoo,,WA,116.4842,-28.7014,mineral deposit,"Fe, Rt, V, FeOre",V2O5,"Iron, Rutile, Vanadium, Iron ore, (Vanadium pentoxide)",CZR Resources Ltd,"Yilgarn Craton, Buddadoo Hills Vanadium Metallogenic Province",,,,,,,West Australian Element
334037,Trout,Plutonic Project,WA,119.5085,-25.3181,historic mine,Au,,Gold,"Northern Star Resources Limited, Barrick Gold Corporation",Yilgarn Craton,Archean,,,,Warakurna Large Igneous Province,,Marymia Dome
334038,Maryvale,"Maryvale Field, Maryvale L, Maryvale Y, includes Morwell Township",VIC,146.4,-38.197,mineral deposit,Cbr,,Coal - brown,"CLP Holdings, TRU Energy",Gippsland Basin,Cenozoic,,,,,Selwyn Province,Melbourne-Mathinna Zone
334039,Budgeree,,VIC,146.3426,-38.4142,mineral deposit,Cbr,,Coal - brown,Department of Primary Industries,Gippsland Basin,Cenozoic,,,,,Selwyn Province,Tasman Element
334041,West Olympus,,WA,117.8967,-23.4289,mineral deposit,Au,,Gold,Sipa Resources Ltd,,,,,,Warakurna Large Igneous Province,Ashburton Basin,Pilbara Craton
334042,Gibraltar - Yaloginda,Yaloginda Project,WA,118.4356,-26.6749,historic mine,Au,,Gold,"Reed Resources Limited, Westgold Resources Limited","Yilgarn Craton, Kalgoorlie Gold Metallogenic Province",Archean,,,,Warakurna Large Igneous Province,,West Australian Element
334043,Central Tanami,,NT,129.1739,-19.966,historic mine,Au,,Gold,"Northern Star Resources Limited, Tanami Gold NL",Tanami Orogen,Proterozoic,,,,Kalkarindji Igneous Province,,Tanami Orogen
334049,Dendrobium,,NSW,150.76,-34.3769,operating mine,Cbl,,Coal - black,"M Resources Pty Ltd, Golden Energy and Resources Limited",Sydney Basin,,,,,,Sydney Basin,Eastern Province
334052,Cooljarloo (IMAGE),,WA,115.4242,-30.6352,under development,"Zrn, Ilm, Rt","Leu, Grt","Zircon, Ilmenite, Rutile, (Leucoxene, Garnet)",Image Resources NL,,,Erosional,Placer,Heavy mineral sands,,Perth Basin,Pinjarra Orogen
334054,Hopelands East,,WA,115.9062,-32.3963,mineral deposit,"Zrn, Ilm","Leu, Rt","Zircon, Ilmenite, (Leucoxene, Rutile)",Tronox Limited,,,Erosional,Placer,Heavy mineral sands,,Mandurah Terrace,Pinjarra Orogen
333778,Golden Pig,"Haddon, Three Boys",WA,119.3208,-31.2303,historic mine,Au,,Gold,China Hanking Holdings Limited,"Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,Deborah Paleovalley,West Australian Element
333779,Mammoth,"Esperanza, Gunpowder, Kabunga, Mt Gordon, North Portal",QLD,139.366,-19.6961,historic mine,Cu,,Copper,Aditya Birla Minerals Ltd,"Mount Isa Orogen, Lawn Hill Platform",Proterozoic,Metamorphic hydrothermal,Orogenic,Orogenic copper ± gold,,,Leichhardt River Domain
333780,Mount Cuthbert,"Leichhardt, Mt Cuthbert South, Mt Watson",QLD,139.914,-19.988,mineral deposit,"Cu, Ag, Au",,"Copper, Silver, Gold","Malaco Group, Cape Lambert Resources Ltd","Mount Isa Orogen, Kalkadoon-Leichhardt Belt",Proterozoic,Regional metasomatic,IOCG,,,,Kalkadoon-Leichhardt Domain
