Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Tivan,363,561,,,,,30-Jun-2024,$13.00k,$75.00k,$0,$0,$-67.84m,$-7.08m,$27.65m,$81.52m,$13.82m,$9.59m,,,,,,,,$3.57m,$192.00k,$0,$20.00k,,,,,,,,,,,,,,,,,KPMG,,"Tivan Limited (TVN) is an ASX listed critical…Tivan Limited (TVN) is an ASX listed critical minerals company focused on continued exploration, evaluation and development planning for its resources projects, primarily the Speewah Vanadium Project including development of the TIVAN plus mineral processing technology with CSIRO, the Sandover Project and the new Speewah Fluorite Project.","2,080",TVN,,PERTH,
Boab Metals,262,229,Simon Noon(Managing Director),,,,30-Jun-2024,$136.10k,$203.40k,$136.10k,$201.75k,$-3.32m,$-5.92m,$12.76m,$11.63m,$667.47k,$1.23m,,,,,,,,$77.64k,$30.50k,$35.07k,$71.56k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Boab Metals Limited (BML) is a Base & Precious…Boab Metals Limited (BML) is a Base & Precious Metals Exploration and Development Company based in Perth Western Australia. The Company is edging closer to development at its 75% owned Sorby Hills Project following outstanding drilling success and a recent Resource update (47.3Mt at 4.1% Pb equivalent). The Sorby Hills Base Metals Project is located 50km northeast of Kununurra in the East Kimberley and just 150km from Wyndham Port.,279,BML,,PERTH,
Traka Resources,318,566,,,,,30-Jun-2024,$42.05k,$22.77k,$0,$0,$-1.03m,$-1.68m,$775.51k,$135.82k,$138.91k,$192.83k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,Traka Resources Limited (TKL) is a minerals…Traka Resources Limited (TKL) is a minerals exploration company with mining projects in the Musgrave and Ravensthorpe area in Western Australia.,"2,422",TKL,,PERTH,
Strike Energy,53,107,,1997,,,30-Jun-2024,$49.58m,$5.55m,$45.60m,$0,$8.58m,$-18.36m,$527.19m,$341.87m,$74.75m,$55.03m,,,,,,,,$16.07m,$13.82m,$7.83m,$16.91m,,,,,,,,,,,,,,,,,Deloitte Touche Tohmatsu,,Strike Energy Limited (STX) is an oil and gas…Strike Energy Limited (STX) is an oil and gas exploration and development company. STX focuses on the development of unconventional and conventional development projects in Australia.,"3,297",STX,,PERTH,
Wildcat Resources,386,394,Ajanth Saverimutto(Managing director),,,,30-Jun-2024,$2.12k,$121,$0,$0,$-8.94m,$-1.62m,$263.57m,$15.23m,$11.01m,$5.52m,,,,,,,,$2.37m,$18.16k,$2.15m,$0,,,,,,,,,,,,,,,,Thomson Geer,Hall Chadwick WA Audit Pty Ltd,,"Wildcat Resources Limited (WC8, formerly Fraser…Wildcat Resources Limited (WC8, formerly Fraser Range Metals Group Ltd) is a for-profit company limited by shares, incorporated and domiciled in Australia whose shares are publicly listed on the ASX. The is focused on mineral exploration and evaluation of new and existing projects in Australia.","1,337",WC8,,PERTH,
Mount Ridley Mines,144,308,,,,,30-Jun-2024,$1.05m,$705.30k,$0,$0,$-1.99m,$-4.65m,$3.96m,$6.41m,$162.11k,$477.85k,,,,,,,,$24.17k,$34.10k,$0,$23.31k,,,,,,,,,,,,,,,,,HLB Mann Judd,,Mount Ridley Mines Limited (MRD) is a Perth based…Mount Ridley Mines Limited (MRD) is a Perth based Australian Exploration Company targeting demand driven minerals in Western Australia.,895,MRD,,PERTH,
Cauldron Energy,215,397,,,,,30-Jun-2024,$354.26k,$54.28k,$0,$0,$-4.73m,$-3.96m,$2.56m,$1.10m,$1.21m,$980.35k,,,,,,,,$91.49k,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Cauldron Energy Limited (CXU) is an ASX-listed…Cauldron Energy Limited (CXU) is an ASX-listed uranium-focused company, 100% owner of the Yanrey Uranium Project, covering an area of -1,270km2, located approximately 100 kms south of Onslow and within a highly prospective, mineral-rich region containing multiple uranium deposit. The Yanrey Project covers a prospective northeast-southwest trending Cretaceous-age coastal plain developed along the western margin of the Pilbara block. This prospective trend extends for at least 140km in length, of which Cauldron holds - 80km under granted tenement.","1,789",CXU,,PERTH,
Macro Metals,413,503,,,,,30-Jun-2024,$0,$0,$0,$0,$-13.95m,$-2.46m,$9.41m,$5.99m,$760.21k,$596.70k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,RSM Australia Partners,,"Macro Metals Limited (M4M) is a mineral…Macro Metals Limited (M4M) is a mineral exploration, development and mining services company focussed on delivery of shareholder value through the economic development of natural resource assets. Macro owns directly a portfolio of iron ore and manganese assets which are undergoing active exploration programs, with the aim of providing future production opportunities.","4,219",M4M,,PERTH,
Bannerman Energy,414,434,Brandon Munro(Executive Chair),,,,30-Jun-2024,$0,$0,$0,$0,$-9.52m,$-4.64m,$107.79m,$112.96m,$2.08m,$2.25m,,,,,,,,$63.00k,$16.00k,$0,$0,,,,,,,,,,,,,,,,,Ernst & Young,,"Bannerman Energy (BMN) is an exploration and…Bannerman Energy (BMN) is an exploration and development company with uranium interests in Namibia, a southern African country which is a uranium mining jurisdiction.",205,BMN,,PERTH,
Black Rock Mining,381,440,"John de Vries(Chief Executive, Managing Director)",,,,30-Jun-2024,$4.12k,$0,$0,$0,$-10.08m,$-9.05m,$63.11m,$61.32m,$3.59m,$3.82m,,,,,,,,$197.18k,$207.93k,$280.76k,$478.41k,,,,,,,,,,,,,,,,,Deloitte Touche Tohmatsu,,"Black Rock Mining Limited (BKT) is an Australian…Black Rock Mining Limited (BKT) is an Australian based company listed on the Australian Securities Exchange (ASX: BKT). The Company has an 84% interest in the world-class Mahenge Graphite Project (Mahenge) located in Tanzania. In July 2019 the Company released an Definitive Feasibility Study (eDFS) for Mahenge. Black Rock has obtained all Environmental approvals, Mining Licences and its Resettlement Action Plan","1,479",BKT,,PERTH,
Ausquest,243,,Graeme Drew(Managing Director),,,,30-Jun-2024,$216.19k,$1.11m,$0,$0,$256.73k,$361.98k,$8.48m,$9.65m,$686.40k,$1.34m,,,,,,,,$89.59k,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"AusQuest Limited (AQD) is an exploration company…AusQuest Limited (AQD) is an exploration company focused on identifying new deposits and mineral regions with potential for large-scale ore discoveries, aiming to increase shareholder value. Since its listing on the Australian Stock Exchange, the company has partnered with several companies through joint ventures or strategic alliances to support exploration across its projects.","1,392",AQD,,PERTH,
Ragnar Metals,364,330,,,,,30-Jun-2024,$12.38k,$389,$0,$0,$3.61m,$-647.28k,$11.51m,$5.01m,$610.81k,$116.08k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,Ragnar Metals Limited (RAG) is a Company…Ragnar Metals Limited (RAG) is a Company involved in exploration and evaluation of its projects in Scandinavia and the exploration and evaluation of its Australian projects.,474,RAG,,PERTH,
Matsa Resources,166,142,Paul Poli(Executive Chair),,,,30-Jun-2024,$757.74k,$4.47m,$0,$230.24k,$-4.60m,$-819.03k,$23.28m,$23.23m,$10.21m,$9.51m,,,,,,,,$1.59m,$655.65k,$3.99m,$4.03m,,,,,,,,,,,,,,,,,Nexia Perth Audit Services Pty Ltd,,Matsa Resources Limited (MAT) is an ASX listed…Matsa Resources Limited (MAT) is an ASX listed exploration and gold mining company operating south of Laverton in the northeastern goldfields of Western Australia. The Company is conducting a focused exploration drive at its flagship Lake Carey Gold Project where it has already established an 949K Oz resource and is aiming to increase that resource to exceed 1M Oz in the near term.,761,MAT,,PERTH,
Provaris Energy,230,193,,,,,30-Jun-2024,$274.59k,$431.34k,$0,$0,$-6.13m,$-12.41m,$1.44m,$5.23m,$998.73k,$1.21m,,,,,,,,$286.80k,$0,$0,$0,,,,,,,,,,,,,,,,,Ernst & Young,,"Provaris Energy Ltd (PV1, formerly Global Energy…Provaris Energy Ltd (PV1, formerly Global Energy Ventures Ltd ) is an Australian public company developing a portfolio of integrated green hydrogen projects for the regional trade of Europe, leveraging our innovative compressed hydrogen bulk carrier (H2Neo) and storage barge (H2Leo).",845,PV1,,PERTH,
Corazon Mining,102,453,,,,,30-Jun-2024,$3.05m,$175.01k,$0,$0,$-2.68m,$-672.90k,$15.58m,$17.91m,$217.31k,$670.48k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,Corazon Mining Limited (CZN) is a base and…Corazon Mining Limited (CZN) is a base and precious metals explorer and developer with projects in Canada and Australia. The company is ideally placed to take good position of the widely forecast future growth in the rechargeable battery and renewable energy industries.,"1,234",CZN,,PERTH,
New World Resources,218,518,,,,,30-Jun-2024,$329.92k,$0,$0,$329.92k,$-2.93m,$-2.93m,$75.23m,$53.31m,$3.22m,$1.94m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"New World Resources Limited (NWC, formerly New…New World Resources Limited (NWC, formerly New World Cobalt Limited) is an exploration and development of mineral resources projects in North America.","3,575",NWC,,PERTH,
Talisman Mining,76,87,Andrew Munckton(Managing Director),,,,30-Jun-2024,$9.25m,$7.40m,$0,$0,$-2.92m,$66.00k,$9.68m,$12.18m,$1.46m,$1.47m,,,,,,,,$66.00k,$79.00k,$73.00k,$6.00k,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Talisman Mining Limited (TLM, formerly Millennium…Talisman Mining Limited (TLM, formerly Millennium Platinum Mines NL) is an Australian mineral development and exploration company.",188,TLM,,PERTH,
Red Hill Minerals,24,31,Michael Wall(Chief Executive),,,,30-Jun-2024,$400.33m,$29.93k,$0,$0,$153.56m,$-2.26m,$242.12m,$53.93m,$47.61m,$641.02k,,,,,,,,$149.23k,$163.83k,$104.55k,$113.72k,,,,,,,,,,,,,,,,,HLB Mann Judd (WA Partnership),,Red Hill Minerals Limited (RHI) is an iron ore…Red Hill Minerals Limited (RHI) is an iron ore and gold and base metals explorer whose activities are concentrated in the West Pilbara region of Western Australia.,64,RHI,,PERTH,
Globe Metals & Mining,415,475,,,,,30-Jun-2024,$0,$0,$0,$0,$-3.43m,$-2.66m,$33.02m,$30.89m,$275.00k,$967.00k,,,,,,,,$0,$825.00k,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Globe Metals & Mining Limited (GBE) is an African…Globe Metals & Mining Limited (GBE) is an African-focused resources company with its Kanyika Niobium Project in Malawi.,694,GBE,,PERTH,
Blaze Minerals,416,373,Simon Coxhell(Managing Director),,,,30-Jun-2024,$0,$11.85k,$0,$0,$-4.65m,$-1.07m,$4.26m,$6.78m,$74.27k,$135.06k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,Blaze Minerals Limited (BLZ) is a mineral…Blaze Minerals Limited (BLZ) is a mineral exploration within Australia and Uganda.,"2,875",BLZ,,PERTH,
Terrain Minerals,417,558,Justin Virgin(Executive Director),2005,,,30-Jun-2024,$0,$0,$0,$0,$-1.52m,$-1.02m,$3.68m,$4.06m,$158.94k,$489.64k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,"House Legal, Steinepreis Paganin",BDO Audit Pty Ltd,,"Terrain Minerals Limited (TMX) is a mineral…Terrain Minerals Limited (TMX) is a mineral exploration company with an asset portfolio that includes, Smokebush Exploration Project, Lort River Exploration Project.","2,581",TMX,,PERTH,
Chalice Mining,151,56,,,,,30-Jun-2024,$972.00k,$1.32m,$0,$0,$-39.50m,$-65.60m,$170.67m,$199.06m,$7.88m,$12.01m,,,,,,,,$243.00k,$363.00k,$1.87m,$1.36m,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Chalice Mining Limited (CHN, formerly Chalice…Chalice Mining Limited (CHN, formerly Chalice Gold Mines Limited) involves in minerals exploration, led by a team of proven mine-finders. The Gonneville Project in WA, hosts a rare mix of critical metals required for decarbonisation and urbanisation including nickel, copper, cobalt, palladium and platinum.",389,CHN,,PERTH,
Encounter Resources,255,77,"Will Robinson(Executive Chair, Managing Director)",,,,30-Jun-2024,$173.66k,$164.13k,$0,$0,$-4.33m,$-1.43m,$37.93m,$30.15m,$1.68m,$1.30m,,,,,,,,$68.20k,$49.06k,$137.70k,$0,,,,,,,,,,,,,,,,,Crowe Perth,,Encounter Resources Limited (ENR) is a mineral…Encounter Resources Limited (ENR) is a mineral exploration company with a focus on discovering major copper and niobium/REE deposits in Australia. Controls portfolio of 100% owned projects and copper projects in partnership and funded through farm-in agreements.,499,ENR,,PERTH,
Strickland Metals,185,227,Paul L'Herpiniere(Managing Director),,,,30-Jun-2024,$503.75k,$42.00k,$0,$0,$24.55m,$-2.57m,$86.93m,$50.62m,$7.30m,$3.91m,,,,,,,,$69.75k,$63.54k,$138.11k,$207.85k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Strickland Metals Limited (STK) is an exploration…Strickland Metals Limited (STK) is an exploration company with projects in Australia. The Company's objective is to create shareholder value through the discovery and development of mineral systems.,"2,262",STK,,PERTH,
Lachlan Star,418,496,,,,,30-Jun-2024,$0,$0,$0,$0,$-1.78m,$-374.42k,$12.06m,$6.60m,$461.19k,$74.58k,,,,,,,,$33.66k,$0,$150.16k,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Lachlan Star Limited (LSA) is a copper and gold…Lachlan Star Limited (LSA) is a copper and gold exploration company headquartered in West Perth, Western Australia. The company is focused on discovering and developing gold and copper resources across a portfolio of promising exploration projects located within some of Australia's mineral regions.",289,LSA,,PERTH,
Castle Minerals,254,261,,,,,30-Jun-2024,$176.19k,$0,$0,$0,$-2.88m,$-5.62m,$1.11m,$2.88m,$595.62k,$846.54k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Castle Minerals Limited is an Australian…Castle Minerals Limited is an Australian Securities Exchange (CDT) listed and Perth, Western Australia headquartered company with interests in several projects in Ghana and Western Australia that are prospective for gold, graphite and base metals.",144,CDT,,PERTH,
Meteoric Resources,180,410,,,,,30-Jun-2024,$553.60k,$0,$0,$0,$-16.37m,$-37.00m,$16.47m,$18.09m,$8.16m,$2.21m,,,,,,,,$235.35k,$0,$313.79k,$1.75m,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Meteoric Resources NL (MEI) is an Australian…Meteoric Resources NL (MEI) is an Australian exploration company focused on mineral tenements in Brazil, Western Australia, and the Northern Territory. In the last six months, the company updated the Caldeira Scoping Study and completed the sale of the Palm Springs Gold Project.","2,640",MEI,,PERTH,
Skylark Minerals,419,342,,,,,30-Jun-2024,$0,$3.93k,$0,$0,$-1.57m,$-59.17m,$3.39m,$4.51m,$1.88m,$2.15m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Skylark Minerals Limited (SKM, formerly Ironbark…Skylark Minerals Limited (SKM, formerly Ironbark Zinc Limited) is an Australia-based metal exploration and development company with holdings in Greenland and Australia.",70,SKM,,PERTH,
Caravel Minerals,161,275,,2010,,,30-Jun-2024,$841.16k,$596.96k,$0,$0,$-6.41m,$-11.07m,$12.94m,$10.27m,$1.09m,$1.55m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Fairweather Corporate Lawyers,BDO Audit Pty Ltd,,"Caravel Minerals Limited (CVV, Formerly Silver…Caravel Minerals Limited (CVV, Formerly Silver Swan Group Limited) is an exploration and minerals development company located in Western Australia. The Company's flagship is the Caravel Copper Project.",558,CVV,,PERTH,
Element 25,68,62,"Justin Brown(Executive Director, Managing Director)",2006,,,30-Jun-2024,$13.30m,$33.71m,$13.21m,$32.53m,$-21.51m,$-24.88m,$65.19m,$68.06m,$8.06m,$12.64m,,,,,,,,$180.02k,$367.26k,$0,$180.02k,,,,,,,,,,,,,,,,HFW Australia,PricewaterhouseCoopers,,"Element 25 Limited (E25) is an ASX-listed company…Element 25 Limited (E25) is an ASX-listed company that operates the Butcherbird Manganese Project in Western Australia. It is working to increase production to around 1.1 million tonnes per year of manganese ore for use in both existing and emerging energy sectors. The company is also working on commercial use of its own technology to make manganese products used in electric vehicle batteries. It plans to set up its first processing facility in Louisiana, USA, to supply materials to the U.S. electric vehicle industry.",228,E25,,PERTH,
Northern Minerals,90,86,,,,,30-Jun-2024,$4.88m,$1.35m,$0,$6.54k,$-31.59m,$-22.29m,$13.94m,$17.40m,$27.95m,$23.87m,,,,,,,,$14.74m,$14.43k,$658.06k,$13.35m,,,,,,,,,,,,,,,,Herbert Smith Freehills,Nexia Perth Audit Services Pty Ltd,,"Northern Minerals Limited (NTU) owns 100% of the…Northern Minerals Limited (NTU) owns 100% of the Browns Range Heavy Rare Earth (HRE) Project in northern Western Australia, tenements rich in the heavy rare earth elements dysprosium (Dy) and terbium (Tb). Dysprosium and terbium are critical in the production of dysprosium neodymium iron-boron (DyNdFeB) magnets used in clean energy, defence and high technology solutions.","8,357",NTU,,PERTH,
Lindian Resources,420,499,,,,,30-Jun-2024,$0,$8.98k,$0,$0,$-4.78m,$-7.73m,$79.13m,$64.30m,$15.92m,$31.31m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,Lindian Resources Ltd (LIN) is an Australian…Lindian Resources Ltd (LIN) is an Australian based company with rare earths and bauxite assets in Malawi and Guinea.,"1,340",LIN,,PERTH,
Impact Minerals,198,197,,,,,30-Jun-2024,$444.79k,$1.48m,$0,$0,$-6.75m,$-5.78m,$15.89m,$18.47m,$901.26k,$1.05m,,,,,,,,$78.38k,$48.10k,$323.13k,$401.50k,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Impact Minerals Limited (IPT), an exploration…Impact Minerals Limited (IPT), an exploration company listed on the ASX since 2006, holds an extensive portfolio of tenement holdings spanning over 5,229sqkm, and aims to unlock Australia's mineral-rich potential. The centerpiece of their endeavours is the Lake Hope High Purity Alumina (HPA) Project in WA, set to revolutionise HPA production with cost-efficient mining and innovative acid leaching technology.","4,113",IPT,,PERTH,
Peak Rare Earths,208,530,,,,,30-Jun-2024,$384.83k,$586.28k,$0,$0,$-17.28m,$-32.80m,$72.59m,$91.48m,$2.51m,$2.60m,,,,,,,,$212.99k,$145.40k,$361.77k,$133.87k,,,,,,,,,,,,,,,,"Bowmans Tanzania, Clyde & Co., Corrs Chambers…Bowmans Tanzania, Clyde & Co., Corrs Chambers Westgarth",Ernst & Young,,"Peak Rare Earths Limited is involved in mineral…Peak Rare Earths Limited is involved in mineral processing technological evaluations, Mining and associated infrastructure, feasibility evaluations and Mineral definition and development.",430,PEK,,PERTH,
Liontown Resources,242,40,"Tony Ottaviano(Chief Executive, Managing Director)",,,,30-Jun-2024,$225.00k,$496.00k,$0,$0,$-64.92m,$-22.21m,$1.38bn,$655.16m,$614.85m,$214.94m,,,,,,,,$6.72m,$1.25m,$454.19m,$120.02m,,,,,,,,,,,,,,,,Allens,Deloitte Touche Tohmatsu,,"Liontown Resources (LTR) is a Company engaged in…Liontown Resources (LTR) is a Company engaged in mineral exploration, evaluation and development.","2,870",LTR,,PERTH,
Sovereign Metals,261,583,,,,,30-Jun-2024,$141.61k,$9.58m,$0,$0,$-18.60m,$-5.82m,$38.68m,$11.89m,$4.32m,$2.22m,,,,,,,,$35.29k,$0,$86.43k,$0,,,,,,,,,,,,,,,,"Simmons & Simmons LLP, Thomson Geer",Ernst & Young,,"Sovereign Metals Limited (SVM) is engaged in…Sovereign Metals Limited (SVM) is engaged in mineral exploration, resource project identification, and appraisal. The principal activities of the Group consisted of the development of Kasiya.",646,SVM,,PERTH,
Empire Resources,376,,,,,,30-Jun-2024,$6.30k,$20.00k,$0,$0,$-985.41k,$-1.42m,$803.95k,$1.04m,$189.97k,$136.68k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,Empire Resources Limited (ERL) is a mineral…Empire Resources Limited (ERL) is a mineral exploration and evaluation of properties in Australia. The company owns four projects.,"1,483",ERL,,PERTH,
