ID,ACN,MatchedNames
comp_234,117372540,"Calix Ltd,Calix Pty Ltd"
comp_235,152084403,"Tungsten Mining Nl,Tungsten West Nl"
comp_236,083646477,"Ezenet Limited,Ezenet Pty Ltd,Ionic Rare Earths Limited,Oro Verde Limited"
comp_237,142014873,"Ventnor Copper Ltd,Ventnor Resources Ltd,Vrx Silica Limited"
comp_238,126398294,Jameson Resources Limited
comp_239,656965589,Chilwa Minerals Ltd
comp_241,125301206,"Altech Batteries Ltd,Altech Chemicals Ltd,Archeoptryx Resources Pty Ltd,Australia Minerals & Mining Group Limited"
comp_242,116221740,"Australian Vanadium Limited,Yellow Rock Resources Ltd"
comp_243,108753608,"Orex Mining Pty Ltd,Yandal Resources Limited"
comp_244,624970725,Caprice Resources Ltd
comp_245,009220053,"Atlas Pacific Gold N.L.,Atlas Pacific Limited,Atlas Pearls And Perfumes Ltd,Atlas Pearls Ltd,Atlas South Sea Pearl Limited"
comp_246,006189331,"Kairos Minerals Limited,Mining Projects Group Limited,Yamarna Goldfields Ltd,Yamarna Goldfields Nl,Zanex Limited,Zanex N.L."
comp_247,063977579,"Image Resources Nl,Magnetic Resources Nl"
comp_248,125010353,Legacy Iron Ore Ltd
comp_249,008905388,"Coal Of Africa Limited,Golden Valley Mines Limited,Golden Valley Mines N.L.,Gvm Metals Limited,Mc Mining Limited"
comp_250,600008848,"Ach Nickel Pty Ltd,Lunnon Metals Limited"
comp_251,610855064,"Berkut Minerals Limited,Berkut Minerals Pty Ltd,Carnaby Resources Limited"
comp_252,123993233,"Archer Exploration Limited,Archer Materials Limited"
comp_253,002678640,"Arc Exploration Limited,Austindo Resources Corporation N.L.,Carrie Pacific Holdings Limited,Cyprium Metals Limited,East West Minerals N L,Hmh Gold Mining Corporation Limited,Hmh Gold Mining Corporation Nl,Votraint (No 41) N L"
comp_254,151155207,"Estrella Resources Limited,Estrella Resources Pty Limited"
comp_256,151996566,Dome Gold Mines Ltd
comp_257,095047920,"Cape Lambert Iron Ore Ltd,Cape Lambert Resources Limited,Cyclone Metals Limited,Hamill Resources Ltd,Hamill Resources Pty Ltd,International Goldfields Limited"
comp_258,155472834,"Errawarra Resources Ltd,West Coast Silver Limited"
comp_259,120069089,"Caravel Minerals Limited,Silver Swan Group Limited"
comp_260,061503375,"Adelaide Resources Limited,Adelaide Resources N.L.,Andromeda Metals Limited"
comp_261,646391899,Southern Palladium Limited
comp_262,625128770,"Cowan Lithium Limited,Midas Minerals Ltd"
comp_263,645022233,"G50 Corp Limited,Gold 50 Limited,Gold 50 Pty Ltd,Gold50 Pty Ltd"
comp_264,659846901,"James Bay Minerals Limited,James Bay Minerals Pty Ltd,Sc Lithium Pty Ltd"
comp_265,000617176,"Seamet Ltd,Taiga Minerals Nl,Tanami Gold Nl,Tullabong Tin Ltd"
comp_266,673333189,"Tali Resources Ltd,Tali Resources Wa Pty Ltd"
comp_268,119711929,"Element 25 Limited,Montezuma Mining Company Ltd"
comp_269,150714739,"Black Canyon Limited,Black Canyon Pty. Ltd."
comp_270,115338979,"Investigator Resources Ltd,Southern Uranium Limited"
comp_271,077435520,"Havilah Resources Limited,Havilah Resources Nl"
comp_272,118788846,"Chase Mining Corporation Limited,Green Critical Minerals Limited,Krucible Metals Limited,Krucible Metals Pty Ltd,Toptung Ltd"
comp_273,149026308,"Altair Minerals Limited,Cohiba Minerals Limited"
comp_274,629831492,"Catalina Minerals Limited,Mammoth Minerals Limited,Shh Prospecting Pty Ltd"
comp_275,112866869,"Coziron Resources Ltd,Czr Resources Ltd,Ozlink Resources Limited"
comp_276,119270816,"Marmosa Resources Limited,Marmota Energy Limited,Marmota Limited,Monax Metals & Mining Limited"
comp_277,122911399,"Augustus Minerals Limited,Hastings Rare Metals Ltd,Hastings Technology Metals Ltd"
comp_278,009173611,"Latrobe Magnesium Limited,Money Mining N.L.,Rambora Technologies Limited"
comp_280,119678385,"Critica Limited,Venture Minerals Limited"
comp_281,601004102,"Vhm Exploration Limited,Vhm Exploration Pty Ltd,Vhm Limited"
comp_282,098952035,"Planet Gas Limited,Sky Metals Limited"
comp_283,639427099,Aurumin Limited
comp_284,617789732,"Northern Cobalt Limited,Northern Cobalt Pty Ltd,Resolution Minerals Ltd"
comp_285,009126238,"New Holland Mining Limited,New Holland Mining N.L.,Nuenergy Capital Limited,Nuenergy Gas Limited"
comp_286,639887219,Far East Gold Ltd
comp_287,126299125,"White Cliff Minerals Limited,White Cliff Nickel Limited"
comp_288,149206333,"Drill Torque Limited,Mitchell Services Limited"
comp_289,119397938,"Zenith Minerals Limited,Zinc Co Australia Limited"
comp_290,009200079,"Dragon Resources Ltd,Dragon Resources Pty. Ltd.,Podium Minerals Limited,Weld Range Metals Limited"
comp_291,103367684,"Red Metal Limited,Red Metal Pty Ltd"
comp_292,089221634,"Bbx Holdings Limited,Bbx Holdings Pty Ltd,Bbx Minerals Limited,Brazilian Critical Minerals Limited"
comp_294,161615783,"Coventry Resources Inc.,Coventry Resources Limited,Crescent Resources Corp.,Polarx Limited"
comp_295,119343734,"Peel Exploration Limited,Peel Mining Limited"
comp_297,141175493,Minbos Resources Limited
comp_299,009799553,"Bullion Gold Limited,Bullion Gold N.L.,Bullion Minerals Ltd,Devex Resources Limited,Tassoil Limited,Theseus Exploration Limited,Theseus Exploration N.L.,Theseus Investments Limited,Uranium Equities Limited"
comp_300,143533537,"Guildford Coal Limited,Terracom Limited"
comp_301,091542451,Ausquest Limited
comp_302,107424519,"Iondrive Limited,Southern Gold Limited"
comp_303,124780276,"Argent Minerals Limited,Kempfield Silver Limited,Kempfield Silver Pty Ltd"
comp_304,606128090,S2 Resources Ltd
comp_305,619137576,"Koonenberry Gold Limited,Koonenberry Gold Pty Ltd"
comp_306,073391189,"Argosy Minerals Inc.,Argosy Minerals Limited,Calliope Metals Corporation,Durandel Minerals Corporation"
