Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
JBM AU Equity,JUBILEE MINES NL,AU,Common Stock,--,387.62M,492.03M,--,Industrial Metals and Mining,Nonferrous Metals,--,--,Metals & Mining,Base Metals,--,--
ART RO Equity,ARTROM STEEL TUB,RO,Common Stock,--,395.22M,602.82M,2k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,"Long, Pipe & Tubular",Pipe & Tubular
319 HK Equity,CHINA METAL INTE,HK,Common Stock,--,407.76M,538.94M,--,Industrial Metals and Mining,Metal Fabricating,Machinery,Industrial Machinery & Supplies & Components,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,--
NCZ AU Equity,SIBANYE STILLWAT,AU,Common Stock,--,408.30M,462.92M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Precious Metals,Gold,--
UVSL IN Equity,UTTAM VALUE STEE,IN,Common Stock,--,411.74M,636.49M,927,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
SMT CN Equity,SIERRA METALS IN,CA,Common Stock,--,413.49M,583.69M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Precious Metals,--,--
BSI TB Equity,BANGKOK STEEL IN,TH,Common Stock,--,419.31M,460.57M,--,Industrial Metals and Mining,Iron and Steel,--,--,Steel,Steel Producers,--,--
ALC PW Equity,ALCHEMIA,PL,Common Stock,--,419.84M,341.54M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
USAP US Equity,UNIVERSAL STAINL,US,Common Stock,--,430.67M,521.86M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
SOLK GA Equity,CORINTH PIPEWORK,GR,Common Stock,--,437.80M,505.96M,442,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,"Long, Pipe & Tubular",Pipe & Tubular
KFER RU Equity,KUZNETSK FER-BRD,RU,Common Stock,--,440.87M,448.37M,5k,Industrial Metals and Mining,Iron and Steel,--,--,Steel,Steel Producers,--,--
TORZ US Equity,SUTOR TECHNOLOG,CN,Common Stock,--,441.72M,603.09M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,Flat Rolled,--
PGHO RU Equity,PRIARGUNSKY-BRD,RU,Common Stock,--,451.16M,744.13M,6k,Industrial Metals and Mining,Nonferrous Metals,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Base Metals,Uranium,--
5566 JP Equity,CHUO DENKI KOGYO,JP,Common Stock,--,456.29M,407.19M,--,Industrial Metals and Mining,Nonferrous Metals,--,--,Metals & Mining,Base Metals,--,--
KRR CN Equity,KARORA RESOURCES,CA,Common Stock,--,464.64M,669.82M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
1655912D US Equity,SOLARWINDS NORTH,US,Common Stock,--,475.88M,1.01B,--,Industrial Metals and Mining,General Mining,Software,Application Software,Software,Infrastructure Software,--,--
ISMT IN Equity,ISMT LTD,IN,Common Stock,--,485.74M,401.13M,2k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,"Long, Pipe & Tubular",Pipe & Tubular
5456 JP Equity,ASAHI INDUSTRIES,JP,Common Stock,--,499.47M,398.51M,501,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
OGBY US Equity,OGLEBAY NORTON C,US,Common Stock,--,503.05M,689.59M,--,Industrial Metals and Mining,General Mining,--,--,Construction Materials,Building Materials,Stone Building Products,--
BMKK RU Equity,ELORETSK METALLU,RU,Common Stock,--,521.44M,385.92M,5k,Industrial Metals and Mining,Iron and Steel,--,--,Steel,Steel Producers,--,--
MCPIQ US Equity,MOLYCORP INC,US,Common Stock,--,527.94M,3.15B,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Rare Earth
5614 JP Equity,KAWAKIN HD,JP,Common Stock,--,532.67M,590.61M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Industrial Intermediate Prod,Fabricated Metal & Hardware,--,--
AGO AU Equity,ATLAS IRON LTD,AU,Common Stock,--,546.82M,379.94M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
GALLIS IN Equity,GALLANTT ISPAT,IN,Common Stock,--,548.08M,472.54M,2k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
DDH AU Equity,DDH1 LTD,AU,Common Stock,--,550.45M,484.80M,2k,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Oil & Gas Services & Equip,Drilling & Drilling Support,--,--
ZINCQ US Equity,METALS RECOVERY,US,Common Stock,--,552.72M,537.79M,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
